Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
Shermta Flomo,Woodards South Yarra,$750 pw,"1004/12-14 Claremont Street,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.83333,144.98333
Harry Whitford,BigginScott Richmond,$725 weekly,"1/1163 Nepean Hwy,",HIGHETT VIC 3190,3 Beds,2 Baths,2 Parking,,melbourne-vic,37.55376,-77.46026
Alicia Cannizzaro,Jellis Craig Northcote,$470.00,"309/231 St Georges Road,",NORTHCOTE VIC 3070,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.76667,145.0
Danielle Crumblehulme,Marshall White Stonnington,"$1,000.00","78 Domain Street,",SOUTH YARRA VIC 3141,3 Beds,2 Baths,− Parking,,melbourne-vic,-37.8613,145.03776
Steven Biggins,RT Edgar Glen Eira,$595 per week,"102/629-631 Glen Huntly Road,",CAULFIELD SOUTH VIC 3162,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.89949,145.04099
Steven Biggins,RT Edgar Glen Eira,$780 per week,"2/8 Byron Street,",CARNEGIE VIC 3163,3 Beds,2 Baths,2 Parking,,melbourne-vic,-37.89949,145.04099
Steven Biggins,RT Edgar Glen Eira,$545.00,"4/18 King Street,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.89949,145.04099
Steven Biggins,RT Edgar Glen Eira,$395 per week,"2/55 Blackwood Street,",CARNEGIE VIC 3163,1 Bed,1 Bath,1 Parking,,melbourne-vic,-37.89949,145.04099
Steven Biggins,RT Edgar Glen Eira,$650.00,"6/15 Malvern Grove,",CAULFIELD NORTH VIC 3161,3 Beds,1 Bath,1 Parking,,melbourne-vic,-37.89949,145.04099
Lucy Redman,RT Edgar Glen Eira,$695.00,"4/83 Orrong Road,",ELSTERNWICK VIC 3185,2 Beds,1 Bath,2 Parking,,melbourne-vic,-37.89949,145.04099
DIANA JURISIC,Ray White CRE,$750,"5 Green Place,",EAST MELBOURNE VIC 3002,2 Beds,2 Baths,1 Parking,,melbourne-vic,45.73191,7.08255
Jay Girn,Dingle Partners,$475.00 pw,"1901/675 La Trobe Street,",DOCKLANDS VIC 3008,1 Bed,1 Bath,− Parking,,melbourne-vic,,
Seona Kelly,Dingle Partners,$420.00 pw,"909/422 Collins Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,melbourne-vic,,
GRE Rentals,Grantham Real Estate,$850,"G4/3 Centennial Avenue,",BRUNSWICK WEST VIC 3055,3 Beds,2 Baths,1 Parking,180m²,melbourne-vic,17.38298,-100.87314
